d,item-1-2,item-1-3,item-1-4,item-1-5,item-1-6,item-1-7,item-1-8,item-1-9,item-1-10,item-1-11,item-1-12,item-1-13,item-1-14,item-1-15,item-1-16,item-1-17
item-2-1,item-2-2,item-2-3,item-2-4,item-2-5,item-2-6,item-2-7,item-2-8,item-2-9,item-2-10,item-2-11,item-2-12,item-2-13,item-2-14,item-2-15,item-2-16,item-2-17
item-3-1,item-3-2,item-3-3,item-3-4,item-3-5,item-3-6,item-3-7,item-3-8,item-3-9,item-3-10,item-3-11,item-3-12,item-3-13,item-3-14,item-3-15,item-3-16,item-3-17
item-4-1,item-4-2,item-4-3,item-4-4,item-4-5,item-4-6,item-4-7,item-4-8,item-4-9,item-4-10,item-4-11,item-4-12,item-4-13,item-4-14,item-4-15,item-4-16,item-4-17
item-5-1,item-5-2,item-5-3,item-5-4,item-5-5,item-5-6,item-5-7,item-5-8,item-5-9,item-5-10,item-5-11,item-5-12,item-5-13,item-5-14,item-5-15,item-5-16,item-5-17
item-6-1,item-6-2,item-6-3,item-6-4,item-6-5,item-6-6,item-6-7,item-6-8,item-6-9,item-6-10,item-6-11,item-6-12,item-6-13,item-6-14,item-6-15,item-6-16,item-6-17
item-7-1,item-7-2,item-7-3,item-7-4,item-7-5,item-7-6,item-7-7,item-7-8,item-7-9,item-7-10,item-7-11,item-7-12,item-7-13,item-7-14,item-7-15,item-7-16,item-7-17
item-8-1,item-8-2,item-8-3,item-8-4,item-8-5,item-8-6,item-8-7,item-8-8,item-8-9,item-8-10,item-8-11,item-8-12,item-8-13,item-8-14,item-8-15,item-8-16,item-8-17
item-9-1,item-9-2,item-9-3,item-9-4,item-9-5,item-9-6,item-9-7,item-9-8,item-9-9,item-9-10,item-9-11,item-9-12,item-9-13,item-9-14,item-9-15,item-9-16,item-9-17
item-10-1,item-10-2,item-10-3,item-10-4,item-10-5,item-10-6,item-10-7,item-10-8,item-10-9,item-10-10,item-10-11,item-10-12,item-10-13,item-10-14,item-10-15,item-10-16,item-10-17
item-11-1,item-11-2,item-11-3,item-11-4,item-11-5,item-11-6,item-11-7,item-11-8,item-11-9,item-11-10,item-11-11,item-11-12,item-11-13,item-11-14,item-11-15,item-11-16,item-11-17
item-12-1,item-12-2,item-12-3,item-12-4,item-12-5,item-12-6,item-12-7,item-12-8,item-12-9,item-12-10,item-12-11,item-12-12,item-12-13,item-12-14,item-12-15,item-12-16,item-12-17
item-13-1,item-13-2,item-13-3,item-13-4,item-13-5,item-13-6,item-13-7,item-13-8,item-13-9,item-13-10,item-13-11,item-13-12,item-13-13,item-13-14,item-13-15,item-13-16,item-13-17
item-14-1,item-14-2,item-14-3,item-14-4,item-14-5,item-14-6,item-14-7,item-14-8,item-14-9,item-14-10,item-14-11,item-14-12,item-14-13,item-14-14,item-14-15,item-14-16,item-14-17
item-15-1,item-15-2,item-15-3,item-15-4,item-15-5,item-15-6,item-15-7,item-15-8,item-15-9,item-15-10,item-15-11,item-15-12,item-15-13,item-15-14,item-15-15,item-15-16,item-15-17
item-16-1,item-16-2,item-16-3,item-16-4,item-16-5,item-16-6,item-16-7,item-16-8,item-16-9,item-16-10,item-16-11,item-16-12,item-16-13,item-16-14,item-16-15,item-16-16,item-16-17
item-17-1,item-17-2,item-17-3,item-17-4,item-17-5,item-17-6,item-17-7,item-17-8,item-17-9,item-17-10,item-17-11,item-17-12,item-17-13,item-17-14,item-17-15,item-17-16,item-17-17
item-18-1,item-18-2,item-18-3,item-18-4,item-18-5,item-18-6,item-18-7,item-18-8,item-18-9,item-18-10,item-18-11,item-18-12,item-18-13,item-18-14,item-18-15,item-18-16,item-18-17
item-19-1,item-19-2,item-19-3,item-19-4,item-19-5,item-19-6,item-19-7,item-19-8,item-19-9,item-19-10,item-19-11,item-19-12,item-19-13,item-19-14,item-19-15,item-19-16,item-19-17
item-20-1,item-20-2,item-20-3,item-20-4,item-20-5,item-20-6,item-20-7,item-20-8,item-20-9,item-20-10,item-20-11,item-20-12,item-20-13,item-20-14,item-20-15,item-20-16,item-20-17
item-21-1,item-21-2,item-21-3,item-21-4,item-21-5,item-21-6,item-21-7,item-21-8,item-21-9,item-21-10,item-21-11,item-21-12,item-21-13,item-21-14,item-21-15,item-21-16,item-21-17
item-22-1,item-22-2,item-22-3,item-22-4,item-22-5,item-22-6,item-22-7,item-22-8,item-22-9,item-22-10,item-22-11,item-22-12,item-22-13,item-22-14,item-22-15,item-22-16,item-22-17
item-23-1,item-23-2,item-23-3,item-23-4,item-23-5,item-23-6,item-23-7,item-23-8,item-23-9,item-23-10,item-23-11,item-23-12,item-23-13,item-23-14,item-23-15,item-23-16,item-23-17
item-24-1,item-24-2,item-24-3,item-24-4,item-24-5,item-24-6,item-24-7,item-24-8,item-24-9,item-24-10,item-24-11,item-24-12,item-24-13,item-24-14,item-24-15,item-24-16,item-24-17
item-25-1,item-25-2,item-25-3,item-25-4,item-25-5,item-25-6,item-25-7,item-25-8,item-25-9,item-25-10,item-25-11,item-25-12,item-25-13,item-25-14,item-25-15,item-25-16,item-25-17
item-26-1,item-26-2,item-26-3,item-26-4,item-26-5,item-26-6,item-26-7,item-26-8,item-26-9,item-26-10,item-26-11,item-26-12,item-26-13,item-26-14,item-26-15,item-26-16,item-26-17
